Date start:22/06/2018;Date stop:31/12/2018
Data;Pescina Wind.L1.WTG4.Status.WTG Event;Pescina Wind.L1.WTG5.Status.WTG Event;Pescina Wind.L1.WTG6.Status.WTG Event;Pescina Wind.L1.WTG8.Status.WTG Event;Pescina Wind.L2.WTG10.Status.WTG Event;Pescina Wind.L2.WTG11.Status.WTG Event;Pescina Wind.L2.WTG7.Status.WTG Event;Pescina Wind.L2.WTG9.Status.WTG Event;
2018/07/22 00:00:56;0;0;0;0;;;;;
2018/07/23 00:00:47;null;null;null;null;null;null;null;null;
2018/07/23 00:01:10;;;;;0;0;0;0;
2018/07/23 00:01:11;0;0;0;0;;;;;
2018/07/23 07:19:35;null;null;null;null;null;null;null;null;
2018/07/23 07:20:04;;;;;0;0;0;0;
2018/07/23 07:20:06;0;0;0;0;;;;;
2018/07/24 00:00:37;null;null;null;null;null;null;null;null;
2018/07/24 00:01:08;;;;;0;0;0;0;
2018/07/24 00:01:09;0;0;0;0;;;;;
2018/07/24 15:11:23;;;;;;;309;;
2018/07/24 15:11:23;;309;;;;;;;
2018/07/24 15:13:34;;0;;;;;;;
2018/07/24 15:13:48;;;;;;;0;;
2018/07/24 16:59:09;0;;0;;0;0;;0;
2018/07/24 16:59:09;;;;0;;;;;
2018/07/24 16:59:20;;0;;;;;0;;
2018/07/25 00:00:38;null;null;null;null;null;null;null;null;
2018/07/25 00:01:00;;;;;0;0;0;0;
2018/07/25 00:01:04;0;0;0;0;;;;;
2018/07/25 15:14:16;;;;;;;;0;
2018/07/25 15:14:16;0;0;0;0;0;;;;
2018/07/25 15:14:16;;;;;;;0;;
2018/07/25 15:14:26;;;;;;0;;;
2018/07/25 15:56:00;;;;;309;;;;
2018/07/25 15:56:08;309;;;;;;;;
2018/07/25 15:57:38;0;;;;;;;;
2018/07/25 16:00:51;;;;;0;;;;
2018/07/25 16:24:45;;;;;;;;0;
2018/07/25 16:24:54;;0;0;0;;;;;
2018/07/25 16:24:54;;;;;;0;0;;
2018/07/25 16:25:05;0;;;;;;;;
2018/07/25 16:25:05;;;;;0;;;;
2018/07/25 16:42:50;;;309;;;;;;
2018/07/25 16:42:52;;;;;309;309;;;
2018/07/25 16:44:51;309;;;;;;;;
2018/07/25 16:45:42;;;;;;0;;;
2018/07/25 16:45:46;0;;0;;;;;;
2018/07/25 16:45:58;;;;;0;;;;
2018/07/26 00:00:37;null;null;null;null;null;null;null;null;
2018/07/26 00:00:57;;;;;0;0;0;0;
2018/07/26 00:00:58;0;0;0;0;;;;;
2018/07/26 07:23:12;;;;;;null;;;
2018/07/26 14:35:52;;;;;;0;;;
2018/07/26 15:46:45;;;275;;;;;;
2018/07/26 16:13:32;;;0;;;;;;
2018/07/26 16:17:43;;275;;;;;;;
2018/07/26 16:19:03;275;;;;;;;;
2018/07/26 16:48:42;;0;;;;;;;
2018/07/26 16:52:18;0;;;;;;;;
2018/07/27 00:00:37;null;null;null;null;null;null;null;null;
2018/07/27 00:00:56;;;;;0;0;0;0;
2018/07/27 00:00:57;0;0;0;0;;;;;
2018/07/27 07:36:40;;;;;;null;;;
2018/07/27 12:47:11;;;;;;0;;;
2018/07/27 15:29:31;;356;;;;;;;
2018/07/27 15:30:32;;0;;;;;;;
2018/07/27 21:34:57;;;275;;;;;;
2018/07/27 22:01:35;;;0;;;;;;
2018/07/27 22:19:40;null;null;null;null;null;null;null;null;
2018/07/27 22:20:20;0;;;0;0;;0;0;
2018/07/27 22:20:23;;;;;;0;;;
2018/07/27 22:20:23;;0;;;;;;;
2018/07/27 22:20:25;;;0;;;;;;
2018/07/28 00:00:37;null;null;null;null;null;null;null;null;
2018/07/28 00:00:55;;;;;0;0;0;0;
2018/07/28 00:00:57;0;0;0;0;;;;;
2018/07/28 19:12:24;null;null;null;null;null;null;null;null;
2018/07/28 20:12:26;;;;;0;0;0;0;
2018/07/28 20:12:26;0;0;;;;;;;
2018/07/28 20:12:26;;;0;0;;;;;
2018/07/29 00:00:37;null;null;null;null;null;null;null;null;
2018/07/29 00:00:59;0;0;0;0;;;;;
2018/07/29 00:01:00;;;;;0;0;0;0;
2018/07/29 09:37:39;275;;;;;;;;
2018/07/29 10:04:16;0;;;;;;;;
2018/07/29 17:23:50;;275;;;;;;;
2018/07/29 17:50:48;;0;;;;;;;
2018/07/29 19:44:01;;;275;;;;;;
2018/07/29 20:10:53;;;0;;;;;;
2018/07/29 20:17:39;;;;;;;;275;
2018/07/29 20:21:20;;;;;275;;;;
2018/07/29 20:44:50;;;;;;;;0;
2018/07/29 20:48:26;;;;;0;;;;
2018/07/30 00:00:47;null;null;null;null;null;null;null;null;
2018/07/30 00:01:07;0;0;0;0;;;;;
2018/07/30 00:01:07;;;;;0;0;0;0;
2018/07/30 19:41:56;null;null;null;null;null;null;null;null;
2018/07/30 19:42:25;0;0;0;;;;;;
2018/07/30 19:42:25;;;;0;0;0;0;0;
2018/07/30 19:53:02;;;;275;;;;;
2018/07/30 20:19:54;;;;0;;;;;
2018/07/31 00:00:47;null;;;;;;;;
2018/07/31 00:00:47;;null;null;null;null;null;null;null;
2018/07/31 00:01:08;;;;;0;0;0;0;
2018/07/31 00:01:09;0;0;0;0;;;;;
2018/08/01 00:00:47;null;null;null;null;null;null;null;null;
2018/08/01 00:01:08;;;;;0;0;0;0;
2018/08/01 00:01:09;0;0;0;0;;;;;
2018/08/01 03:30:15;;275;;;;;;;
2018/08/01 03:56:22;;0;;;;;;;
2018/08/02 00:00:38;null;null;null;null;null;null;null;null;
2018/08/02 00:00:55;0;0;0;0;;;;;
2018/08/02 00:00:57;;;;;0;0;0;0;
2018/08/02 09:26:05;null;null;null;null;null;null;null;null;
2018/08/02 13:28:18;0;0;;;0;0;;0;
2018/08/02 13:28:18;;;0;0;;;;;
2018/08/02 13:28:19;;;;;;;0;;
2018/08/02 19:39:33;null;null;null;null;null;null;null;null;
2018/08/03 08:01:46;0;0;0;0;;;;;
2018/08/03 08:01:46;;;;;0;0;0;0;
2018/08/03 09:10:15;null;null;null;null;null;null;null;null;
2018/08/03 09:17:53;0;0;0;0;0;0;0;0;
2018/08/04 00:00:37;null;null;null;null;null;null;null;null;
2018/08/04 00:00:56;0;0;0;0;;;;;
2018/08/04 00:00:58;;;;;0;0;0;0;
2018/08/05 00:00:47;null;null;null;null;null;null;null;null;
2018/08/05 00:01:07;0;0;0;0;;;;;
2018/08/05 00:01:09;;;;;0;0;0;0;
2018/08/05 21:01:46;;;275;;;;;;
2018/08/05 21:28:43;;;0;;;;;;
2018/08/06 00:00:36;null;null;null;null;null;null;null;null;
2018/08/06 00:01:02;0;0;0;0;;;;;
2018/08/06 00:01:02;;;;;0;0;0;0;
2018/08/06 14:50:40;null;null;null;null;null;null;null;null;
2018/08/06 14:51:51;0;0;0;0;;;;;
2018/08/06 14:51:51;;;;;0;0;0;0;
2018/08/06 14:58:24;;;;;;;356;;
2018/08/06 14:59:24;;;;;;;0;;
2018/08/06 17:37:11;;;;;null;null;null;null;
2018/08/06 17:37:12;null;null;null;null;;;;;
2018/08/06 17:40:55;;;;;0;0;0;0;
2018/08/06 17:40:57;0;0;0;0;;;;;
2018/08/07 00:00:37;null;null;null;null;;;null;null;
2018/08/07 00:00:37;;;;;null;null;;;
2018/08/07 00:00:58;0;0;0;0;;;;;
2018/08/07 00:01:00;;;;;0;0;0;0;
2018/08/07 06:46:23;;;;;;;275;;
2018/08/07 07:12:51;;;;;;;0;;
2018/08/07 16:47:58;null;null;null;null;null;null;null;null;
2018/08/07 17:09:17;0;0;0;0;;;;;
2018/08/07 17:09:18;;;;;0;0;0;0;
2018/08/07 18:57:26;null;null;null;null;null;null;null;null;
2018/08/07 19:03:34;0;0;0;0;;;;;
2018/08/07 19:03:34;;;;;0;0;0;0;
2018/08/08 00:00:47;null;null;null;;;;null;;
2018/08/08 00:00:47;;;;null;null;null;;null;
2018/08/08 00:01:08;0;0;0;0;;;;;
2018/08/08 00:01:09;;;;;;;0;0;
2018/08/08 00:01:14;;;;;0;0;;;
2018/08/08 11:55:15;;;;;;null;;;
2018/08/08 12:23:47;;;;;;0;;;
2018/08/08 12:39:00;;;;;;;275;;
2018/08/08 13:06:17;;;;;;;0;;
2018/08/08 19:15:56;;275;;;;;;;
2018/08/08 19:42:49;;0;;;;;;;
2018/08/09 00:00:36;null;null;null;null;null;;null;null;
2018/08/09 00:00:36;;;;;;null;;;
2018/08/09 00:00:55;0;0;0;0;;;;;
2018/08/09 00:00:55;;;;;0;0;0;0;
2018/08/09 10:08:31;0;0;0;0;;;;;
2018/08/09 10:08:31;;;;;0;0;0;0;
2018/08/09 12:10:19;;;;;;;null;;
2018/08/09 12:43:26;;;;;;;900;;
2018/08/09 12:43:47;;;;;;;0;;
2018/08/10 00:00:38;null;null;null;;;;;;
2018/08/10 00:00:38;;;;null;null;null;null;null;
2018/08/10 00:00:58;;;;;0;0;0;0;
2018/08/10 00:00:58;0;0;0;0;;;;;
2018/08/10 13:01:35;;;;;;;338;;
2018/08/10 13:02:41;;;;;;;0;;
2018/08/10 13:03:01;;;;;;;176;;
2018/08/10 13:04:26;;;;;;;0;;
2018/08/11 00:00:47;null;null;null;null;null;null;null;null;
2018/08/11 00:01:06;0;0;0;0;;;;;
2018/08/11 00:01:08;;;;;0;0;0;0;
2018/08/12 00:00:48;null;null;null;null;null;null;null;null;
2018/08/12 00:01:07;;;;;0;0;0;0;
2018/08/12 00:01:08;0;0;0;0;;;;;
2018/08/13 00:00:47;null;null;null;;;;;;
2018/08/13 00:00:47;;;;null;null;null;null;null;
2018/08/13 00:01:07;;;;;0;0;0;0;
2018/08/13 00:01:07;0;0;0;0;;;;;
2018/08/14 00:00:47;null;null;null;null;null;null;null;null;
2018/08/14 00:01:17;0;0;0;0;;;;;
2018/08/14 00:01:18;;;;;0;0;0;0;
2018/08/15 00:00:48;null;null;null;;;;null;;
2018/08/15 00:00:48;;;;null;null;null;;null;
2018/08/15 00:01:07;;;;;0;0;0;0;
2018/08/15 00:01:08;0;0;0;0;;;;;
2018/08/15 00:29:55;275;;;;;;;;
2018/08/15 00:56:36;0;;;;;;;;
2018/08/16 00:00:47;null;null;null;null;null;null;null;null;
2018/08/16 00:01:06;;;;;0;0;0;0;
2018/08/16 00:01:07;0;0;0;0;;;;;
2018/08/16 16:25:33;181;;;;;;;;
2018/08/16 17:17:06;0;;;;;;;;
2018/08/16 17:17:21;309;;;;;;;;
2018/08/16 17:17:36;0;;;;;;;;
2018/08/17 00:00:38;null;null;null;null;null;null;null;null;
2018/08/17 00:00:57;0;0;0;0;;;;;
2018/08/17 00:00:57;;;;;0;0;0;0;
2018/08/17 10:02:39;976;;;;;;;;
2018/08/17 10:03:35;0;;;;;;;;
2018/08/17 14:40:05;;;;275;;;;;
2018/08/17 15:06:56;;;;0;;;;;
2018/08/17 15:14:41;;;;;;;;275;
2018/08/17 15:42:07;;;;;;;;0;
2018/08/18 00:00:47;null;null;null;;;;null;;
2018/08/18 00:00:47;;;;null;null;null;;null;
2018/08/18 00:01:06;;;;;0;0;0;0;
2018/08/18 00:01:09;0;0;0;0;;;;;
2018/08/18 02:33:20;;;;;;;275;;
2018/08/18 02:55:33;275;;;;;;;;
2018/08/18 03:00:06;;;;;;;0;;
2018/08/18 03:22:19;0;;;;;;;;
2018/08/19 00:00:47;null;null;null;null;null;null;null;null;
2018/08/19 00:01:05;0;0;0;0;;;;;
2018/08/19 00:01:05;;;;;0;0;0;0;
2018/08/20 00:00:47;null;null;null;null;null;null;null;null;
