Date start:01/01/2019;Date stop:30/06/2019
Data;WTE2.L1.WTG1.Status.WTG Event;WTE2.L1.WTG2.Status.WTG Event;WTE2.L1.WTG3.Status.WTG Event;WTE2.L2.WTG12.Status.WTG Event;WTE2.L2.WTG13.Status.WTG Event;WTE2.L2.WTG14.Status.WTG Event;
2019/01/12 00:00:53;0;0;0;;;;
2019/01/13 00:00:37;null;null;null;null;null;null;
2019/01/13 00:00:53;0;0;0;;;;
2019/01/13 00:00:59;;;;0;0;0;
2019/01/13 02:01:48;;;275;;;;
2019/01/13 02:28:05;;;0;;;;
2019/01/14 00:00:37;null;null;null;null;null;null;
2019/01/14 00:00:55;;;;0;0;0;
2019/01/14 00:00:56;0;0;0;;;;
2019/01/14 13:38:02;null;;;;;;
2019/01/14 14:34:49;0;;;;;;
2019/01/14 14:49:12;;null;;;;;
2019/01/14 15:48:15;;0;;;;;
2019/01/15 00:00:37;null;null;null;null;null;null;
2019/01/15 00:00:56;0;0;0;;;;
2019/01/15 00:00:58;;;;0;0;0;
2019/01/15 00:32:25;;275;;;;;
2019/01/15 00:34:30;275;;;;;;
2019/01/15 00:59:05;;0;;;;;
2019/01/15 01:01:46;0;;;;;;
2019/01/15 07:34:49;;;null;;;;
2019/01/15 08:31:26;;;0;;;;
2019/01/15 10:53:50;;;;0;0;0;
2019/01/15 10:53:50;0;0;0;;;;
2019/01/15 12:03:37;0;0;0;0;0;0;
2019/01/15 12:50:07;0;0;0;0;0;0;
2019/01/16 00:00:37;null;null;null;null;null;null;
2019/01/16 00:00:55;;;;0;0;0;
2019/01/16 00:00:57;0;0;0;;;;
2019/01/16 07:20:00;;;;null;;;
2019/01/16 08:30:51;;;;0;;;
2019/01/16 08:41:58;;;;;;null;
2019/01/16 09:59:46;;;;;;0;
2019/01/16 11:36:28;null;null;null;null;null;null;
2019/01/16 11:42:57;0;0;0;;0;;
2019/01/16 11:42:57;;;;0;;0;
2019/01/16 13:25:43;;;;null;;;
2019/01/16 14:45:51;;;;0;;;
2019/01/17 00:00:37;null;null;null;null;null;null;
2019/01/17 00:00:55;;;;0;0;0;
2019/01/17 00:00:56;0;0;0;;;;
2019/01/17 03:02:20;;;;;275;;
2019/01/17 03:27:55;;;;;0;;
2019/01/17 09:28:55;0;0;0;;;;
2019/01/17 09:28:56;;;;0;0;0;
2019/01/18 00:00:47;null;null;null;null;null;null;
2019/01/18 00:01:06;;;;0;0;0;
2019/01/18 00:01:07;0;0;0;;;;
2019/01/19 00:00:37;null;null;null;null;null;null;
2019/01/19 00:00:55;;;;0;0;0;
2019/01/19 00:00:55;0;0;0;;;;
2019/01/19 20:05:11;;;;null;null;null;
2019/01/19 20:05:11;null;null;null;;;;
2019/01/19 20:05:44;;;;0;0;0;
2019/01/19 20:05:45;0;0;0;;;;
2019/01/20 00:00:47;null;null;null;null;null;null;
2019/01/20 00:01:06;;;;0;0;0;
2019/01/20 00:01:06;0;0;0;;;;
2019/01/20 09:27:02;;;;;;275;
2019/01/20 09:53:59;;;;;;0;
2019/01/21 00:00:37;null;null;null;null;null;null;
2019/01/21 00:00:58;;;;0;0;0;
2019/01/21 00:00:58;0;0;0;;;;
2019/01/21 09:42:25;;;;;null;;
2019/01/21 10:29:10;;;;0;;0;
2019/01/21 10:29:12;0;0;0;;;;
2019/01/21 10:34:22;;;;;0;;
2019/01/21 10:35:47;;;;;;null;
2019/01/21 11:23:17;;;;;;0;
2019/01/21 11:25:42;0;0;0;;;;
2019/01/21 11:25:43;;;;0;0;0;
2019/01/21 11:29:04;;;;0;0;0;
2019/01/21 11:29:08;0;0;0;;;;
2019/01/21 14:36:27;null;null;null;null;null;null;
2019/01/21 15:12:58;;;;0;0;0;
2019/01/21 15:12:58;0;0;0;;;;
2019/01/22 00:00:37;null;null;null;null;null;null;
2019/01/22 00:00:58;0;0;0;;;;
2019/01/22 00:00:59;;;;0;0;;
2019/01/22 00:01:04;;;;;;0;
2019/01/23 00:00:38;null;null;null;null;null;null;
2019/01/23 00:00:56;;;;0;0;0;
2019/01/23 00:00:57;0;0;0;;;;
2019/01/24 00:00:37;null;null;null;null;null;null;
2019/01/24 00:00:55;;;;0;0;0;
2019/01/24 00:00:55;0;0;0;;;;
2019/01/24 17:38:40;;338;;;;;
2019/01/24 17:39:45;;0;;;;;
2019/01/24 19:23:29;;;;;338;;
2019/01/24 19:24:34;;;;;0;;
2019/01/24 21:14:56;;;;;356;;
2019/01/24 21:16:01;;;;;191;;
2019/01/24 21:16:06;;;;;0;;
2019/01/24 21:24:23;;;;;338;;
2019/01/24 21:25:28;;;;;0;;
2019/01/24 22:37:00;;;;;;338;
2019/01/24 22:38:06;;;;;;0;
2019/01/24 23:10:43;;;;;356;;
2019/01/24 23:11:48;;;;;0;;
2019/01/24 23:28:37;;;;;338;;
2019/01/24 23:29:38;;;;;0;;
2019/01/24 23:44:11;;;;;356;;
2019/01/24 23:45:12;;;;;0;;
2019/01/24 23:50:53;;;;;338;;
2019/01/24 23:51:53;;;;;0;;
2019/01/24 23:56:14;;;;;356;;
2019/01/24 23:57:10;;;;;100;;
2019/01/25 00:00:47;null;;;;;;
2019/01/25 00:00:47;;null;null;null;null;null;
2019/01/25 00:01:05;;;;0;100;0;
2019/01/25 00:01:05;0;0;0;;;;
2019/01/25 01:19:13;;;;;0;;
2019/01/25 01:59:47;;;356;;;;
2019/01/25 02:00:47;;;0;;;;
2019/01/25 02:08:49;;;356;;;;
2019/01/25 02:09:49;;;0;;;;
2019/01/25 04:19:38;144;;;;;;
