Date start:22/06/2018;Date stop:31/12/2018
Data;Marsica I.L1.CM1.Status.WTG Event;Marsica I.L1.R1.Status.WTG Event;Marsica I.L1.R2.Status.WTG Event;Marsica I.L1.R3.Status.WTG Event;
2018/08/16 14:52:47;;;0;;
2018/08/16 14:58:23;null;;;;
2018/08/16 15:00:59;0;;;;
2018/08/16 15:46:40;224;;;;
2018/08/16 15:46:50;0;;;;
2018/08/17 00:00:38;;;null;null;
2018/08/17 00:00:38;null;null;;;
2018/08/17 00:00:51;0;0;0;0;
2018/08/17 12:03:51;275;;;;
2018/08/17 12:31:22;224;;;;
2018/08/17 12:49:16;0;;;;
2018/08/17 14:23:14;;;null;;
2018/08/17 14:25:29;;;222;;
2018/08/17 14:25:59;;;223;;
2018/08/17 14:26:24;;;224;;
2018/08/17 14:44:44;;;275;;
2018/08/17 15:06:44;;275;;;
2018/08/17 15:12:40;;;224;;
2018/08/17 15:13:00;;;0;;
2018/08/17 15:34:50;;224;;;
2018/08/17 17:21:34;;0;;;
2018/08/18 00:00:47;null;null;null;null;
2018/08/18 00:01:02;;;0;;
2018/08/18 00:01:02;0;0;;0;
2018/08/19 00:00:47;null;null;null;null;
2018/08/19 00:01:02;0;0;0;0;
2018/08/19 17:52:05;;;null;;
2018/08/19 17:54:21;;;222;;
2018/08/19 17:54:51;;;223;;
2018/08/19 17:55:16;;;224;;
2018/08/19 17:55:56;;;0;;
2018/08/19 19:12:19;;;null;;
2018/08/19 19:14:45;;;222;;
2018/08/19 19:14:55;;;223;;
2018/08/19 19:15:15;;;224;;
2018/08/19 19:15:25;;;0;;
2018/08/20 00:00:47;null;null;null;null;
2018/08/20 00:01:01;0;0;0;0;
2018/08/20 08:54:11;null;null;null;null;
2018/08/20 08:57:15;0;0;0;0;
2018/08/20 13:23:21;315;;;315;
2018/08/20 13:23:26;;315;;;
2018/08/20 13:23:51;;;null;;
2018/08/20 13:24:11;;;;null;
2018/08/20 13:24:16;null;;;;
2018/08/20 13:24:21;;null;;;
2018/08/20 16:47:27;;222;222;;
2018/08/20 16:47:47;222;;;222;
2018/08/20 16:48:17;223;;;;
2018/08/20 16:48:22;;;223;223;
2018/08/20 16:48:27;;223;;;
2018/08/20 16:48:47;224;;224;224;
2018/08/20 16:48:57;;224;;;
2018/08/20 16:49:07;;0;0;;
2018/08/20 16:49:12;;;;0;
2018/08/20 16:49:17;0;;;;
2018/08/21 00:00:37;null;null;null;null;
2018/08/21 00:00:50;0;0;0;0;
2018/08/21 05:55:27;;;null;;
2018/08/21 05:57:43;;;222;;
2018/08/21 05:58:14;;;223;;
2018/08/21 05:58:39;;;224;;
2018/08/21 05:59:29;;;0;;
2018/08/21 07:07:58;;null;;;
2018/08/21 15:33:24;;0;;;
2018/08/21 15:38:26;;;null;;
2018/08/21 15:40:42;;;222;;
2018/08/21 15:41:12;;;223;;
2018/08/21 15:41:37;;;224;;
2018/08/21 15:41:47;;;0;;
2018/08/21 20:10:44;275;;;;
2018/08/21 20:38:15;224;;;;
2018/08/21 20:38:55;0;;;;
2018/08/21 21:26:39;;;;275;
2018/08/21 21:54:04;;;;224;
2018/08/21 21:55:25;;;;0;
2018/08/22 00:00:37;null;null;null;null;
2018/08/22 00:00:53;0;0;0;0;
2018/08/22 07:11:32;;null;;;
2018/08/22 13:27:47;;0;;;
2018/08/23 00:00:47;null;null;null;null;
2018/08/23 00:01:03;0;0;0;0;
2018/08/23 07:07:49;;;null;;
2018/08/23 15:40:19;;;0;;
2018/08/24 00:00:37;null;null;null;null;
2018/08/24 00:00:52;0;0;0;0;
2018/08/24 07:04:35;;;null;;
2018/08/24 10:43:22;;;0;;
2018/08/24 10:47:28;;;;null;
2018/08/24 11:45:01;;;null;;
2018/08/24 11:45:16;;;0;;
2018/08/24 14:23:54;;;;224;
2018/08/24 14:26:35;;;;0;
2018/08/25 00:00:37;null;null;null;null;
2018/08/25 00:00:50;0;0;0;0;
2018/08/25 04:29:49;;;null;;
2018/08/25 04:31:55;;;222;;
2018/08/25 04:32:25;;;223;;
2018/08/25 04:32:40;;;224;;
2018/08/25 04:57:20;;;0;;
2018/08/26 00:00:47;null;null;null;null;
2018/08/26 00:01:00;0;0;0;0;
2018/08/27 00:00:37;null;null;null;null;
2018/08/27 00:00:51;0;0;0;0;
2018/08/27 10:39:27;;;null;;
2018/08/27 12:02:34;null;null;;null;
2018/08/27 12:04:09;0;0;;0;
2018/08/27 14:53:25;;;0;;
2018/08/28 00:00:37;null;null;null;null;
2018/08/28 00:00:50;0;0;0;0;
2018/08/28 07:08:28;;null;;;
2018/08/28 07:13:10;;;;null;
2018/08/28 15:33:57;;;;0;
2018/08/29 00:00:37;null;;null;null;
2018/08/29 00:00:50;0;;0;0;
2018/08/29 07:08:23;null;;;;
2018/08/29 15:38:34;224;;;;
2018/08/29 15:47:52;0;;;;
2018/08/30 00:00:47;null;;null;null;
2018/08/30 00:01:03;0;;0;0;
2018/08/30 07:20:10;null;;;;
2018/08/30 10:37:46;224;;;;
2018/08/30 11:08:33;0;;;;
2018/08/30 11:31:57;;;null;;
2018/08/30 11:32:02;;;;null;
2018/08/30 11:32:12;;;0;0;
2018/08/30 12:48:27;;0;;;
2018/08/30 20:59:55;;;;276;
2018/08/30 21:27:55;;;;224;
2018/08/30 21:50:29;;;;0;
2018/08/31 00:00:37;null;;null;null;
2018/08/31 00:00:37;;null;;;
2018/08/31 00:00:53;0;0;0;0;
2018/08/31 13:20:47;;null;;;
2018/08/31 14:19:47;;0;;;
2018/09/01 00:00:37;null;null;null;null;
