Date start:22/06/2018;Date stop:31/12/2018
Data;WTE2.L1.WTG1.Status.WTG Event;WTE2.L1.WTG2.Status.WTG Event;WTE2.L1.WTG3.Status.WTG Event;WTE2.L2.WTG12.Status.WTG Event;WTE2.L2.WTG13.Status.WTG Event;WTE2.L2.WTG14.Status.WTG Event;
2018/07/23 00:44:07;;;275;;;;
2018/07/23 01:10:32;;;0;;;;
2018/07/23 07:19:35;null;null;null;null;null;null;
2018/07/23 07:20:04;0;0;;0;0;0;
2018/07/23 07:20:06;;;0;;;;
2018/07/24 00:00:37;null;null;null;null;null;null;
2018/07/24 00:01:06;0;0;0;;;;
2018/07/24 00:01:09;;;;0;0;0;
2018/07/24 15:21:25;;;309;;;;
2018/07/24 15:21:30;;;;;;309;
2018/07/24 15:22:50;;;;;;0;
2018/07/24 15:23:20;;;0;;;;
2018/07/24 16:59:09;0;0;;;;;
2018/07/24 16:59:09;;;;0;0;;
2018/07/24 16:59:20;;;0;;;0;
2018/07/25 00:00:38;null;null;null;null;null;null;
2018/07/25 00:00:59;0;0;0;;;;
2018/07/25 00:01:00;;;;0;0;0;
2018/07/25 15:14:16;0;0;0;0;;;
2018/07/25 15:14:16;;;;;0;0;
2018/07/25 15:45:56;;;;;309;;
2018/07/25 15:45:56;309;;;;;;
2018/07/25 15:51:02;;;;;0;;
2018/07/25 15:51:02;0;;;;;;
2018/07/25 16:24:54;;0;0;0;;0;
2018/07/25 16:25:05;0;;;;0;;
2018/07/25 16:30:57;;;;;;309;
2018/07/25 16:31:02;;;;;309;;
2018/07/25 16:31:12;;;309;;;;
2018/07/25 16:33:38;;;;;0;;
2018/07/25 16:33:38;;;0;;;;
2018/07/25 16:33:48;;;;;;0;
2018/07/26 00:00:37;null;null;null;null;null;null;
2018/07/26 00:00:56;0;0;0;;;;
2018/07/26 00:00:57;;;;0;0;0;
2018/07/26 23:34:20;275;;;;;;
2018/07/27 00:00:37;null;null;null;null;null;null;
2018/07/27 00:00:55;275;0;0;;;;
2018/07/27 00:00:56;;;;0;0;0;
2018/07/27 00:01:31;0;;;;;;
2018/07/27 07:57:37;;;;null;;;
2018/07/27 13:39:26;;;;;;275;
2018/07/27 14:06:25;;;;;;0;
2018/07/27 14:09:26;;;;900;;;
2018/07/27 14:11:26;;;;0;;;
2018/07/27 22:19:40;null;null;null;null;null;null;
2018/07/27 22:20:20;0;0;0;;0;;
2018/07/27 22:20:23;;;;;;0;
2018/07/27 22:20:23;;;;0;;;
2018/07/27 22:40:10;;;275;;;;
2018/07/27 23:06:44;;;0;;;;
2018/07/28 00:00:37;null;null;null;null;null;null;
2018/07/28 00:00:54;0;0;0;;;;
2018/07/28 00:00:56;;;;0;0;0;
2018/07/28 11:44:47;;;;;171;;
2018/07/28 11:45:48;;;;;191;;
2018/07/28 11:45:58;;;;;0;;
2018/07/28 19:12:24;null;null;null;null;null;null;
2018/07/28 20:12:26;0;0;0;;;;
2018/07/28 20:12:26;;;;0;;0;
2018/07/28 20:12:27;;;;;0;;
2018/07/29 00:00:37;null;null;null;null;null;null;
2018/07/29 00:01:00;;;;0;0;0;
2018/07/29 00:01:01;0;0;0;;;;
2018/07/30 00:00:47;null;null;null;null;null;;
2018/07/30 00:00:47;;;;;;null;
2018/07/30 00:01:08;0;0;0;;;;
2018/07/30 00:01:08;;;;0;0;0;
2018/07/30 07:26:49;;;;null;;;
2018/07/30 14:46:31;;;;0;;;
2018/07/30 19:41:56;null;null;null;null;null;null;
2018/07/30 19:42:25;0;0;0;;0;0;
2018/07/30 19:42:28;;;;0;;;
2018/07/30 21:09:41;;;275;;;;
2018/07/30 21:10:56;275;;;;;;
2018/07/30 21:36:06;;;0;;;;
2018/07/30 21:38:11;0;;;;;;
2018/07/30 22:33:00;;275;;;;;
2018/07/30 23:00:25;;0;;;;;
2018/07/31 00:00:47;null;null;null;null;null;null;
2018/07/31 00:01:06;0;0;0;;;;
2018/07/31 00:01:08;;;;0;0;0;
2018/07/31 07:24:09;;;;null;;;
2018/07/31 14:53:19;;;;0;;;
2018/08/01 00:00:47;null;null;null;null;null;null;
2018/08/01 00:01:07;0;0;0;;;;
2018/08/01 00:01:08;;;;0;0;0;
2018/08/01 07:32:05;;;;null;;;
2018/08/01 14:26:04;;;;0;;;
2018/08/01 23:56:20;;;;336;;;
2018/08/01 23:56:25;;;;315;;;
2018/08/01 23:57:41;;;;null;;;
2018/08/02 00:00:38;null;null;null;;;;
2018/08/02 00:00:38;;;;;null;null;
2018/08/02 00:00:56;;;;;0;0;
2018/08/02 00:00:57;0;0;0;;;;
2018/08/02 09:26:05;null;null;null;;null;null;
2018/08/02 13:28:18;0;0;0;;0;0;
2018/08/02 19:39:33;null;null;null;;null;null;
2018/08/03 08:01:47;0;0;0;;;;
2018/08/03 08:01:47;;;;;0;0;
2018/08/03 09:10:15;null;null;null;;null;null;
2018/08/03 09:17:53;;;;;0;;
2018/08/03 09:17:53;0;0;0;;;0;
2018/08/03 16:01:35;;181;;;;;
2018/08/03 19:04:14;;null;;;;;
2018/08/03 19:06:49;;0;;;;;
2018/08/04 00:00:37;null;null;null;;null;null;
2018/08/04 00:00:56;;;;;0;0;
2018/08/04 00:00:58;0;0;0;;;;
2018/08/05 00:00:47;null;null;null;;null;null;
2018/08/05 00:01:08;0;0;0;;;;
2018/08/05 00:01:08;;;;;0;0;
2018/08/06 00:00:36;null;null;null;;null;null;
2018/08/06 00:00:59;0;0;0;;;;
2018/08/06 00:01:01;;;;;0;0;
2018/08/06 07:43:57;;;;;null;;
2018/08/06 13:48:30;;;;;0;;
2018/08/06 14:50:40;null;null;null;;null;null;
2018/08/06 14:51:51;0;0;;;;;
2018/08/06 14:51:51;;;0;;0;0;
2018/08/06 15:40:50;;;;;;276;
2018/08/06 16:08:49;;;;;;0;
2018/08/06 17:08:04;;;;;276;;
2018/08/06 17:37:12;;;;;null;null;
2018/08/06 17:37:14;null;null;null;;;;
2018/08/06 17:40:55;;;;;0;0;
2018/08/06 17:40:56;0;0;0;;;;
2018/08/07 00:00:37;null;null;null;;null;null;
2018/08/07 00:00:58;;;;;0;0;
2018/08/07 00:00:58;0;0;0;;;;
2018/08/07 07:36:32;;;;;null;;
2018/08/07 11:12:39;;;;;;null;
2018/08/07 11:43:29;;;;;;0;
2018/08/07 14:44:34;;;;;0;;
2018/08/07 15:35:32;;;;;;276;
2018/08/07 16:03:52;;;;;;0;
2018/08/07 16:47:58;null;null;null;;null;null;
2018/08/07 17:09:16;0;0;0;;;;
2018/08/07 17:09:19;;;;;0;0;
2018/08/07 18:57:26;null;null;null;;null;null;
2018/08/07 19:03:34;0;0;0;;;;
2018/08/07 19:03:35;;;;;0;0;
2018/08/08 00:00:47;null;null;null;;null;null;
2018/08/08 00:01:09;0;0;0;;;;
2018/08/08 00:01:10;;;;;0;0;
2018/08/08 07:32:32;;;;;null;;
2018/08/08 14:45:15;;;;;0;;
2018/08/09 00:00:36;null;null;null;;null;null;
2018/08/09 00:00:54;;;;;0;0;
2018/08/09 00:00:56;0;0;0;;;;
2018/08/09 07:32:34;;;;;null;;
2018/08/09 10:08:34;0;0;0;;;0;
2018/08/09 13:58:15;;;;;0;;
2018/08/09 21:13:23;;;275;;;;
2018/08/09 21:39:54;;;0;;;;
2018/08/10 00:00:38;null;null;null;;null;null;
2018/08/10 00:00:57;0;0;0;;;;
2018/08/10 00:00:58;;;;;0;0;
2018/08/10 11:42:25;;;;;null;;
2018/08/10 11:56:53;;;;;0;;
2018/08/11 00:00:47;null;null;null;;null;null;
2018/08/11 00:01:06;;;;;0;0;
2018/08/11 00:01:07;0;0;0;;;;
2018/08/12 00:00:48;null;null;null;;null;null;
2018/08/12 00:01:05;0;0;0;;;;
2018/08/12 00:01:08;;;;;0;0;
2018/08/13 00:00:47;null;null;null;;null;null;
2018/08/13 00:01:06;0;0;0;;;;
2018/08/13 00:01:08;;;;;0;0;
2018/08/13 08:00:14;;;;0;;;
2018/08/13 08:03:39;;;;null;;;
2018/08/13 08:28:05;;;;0;;;
2018/08/13 09:10:38;;;;318;;;
2018/08/13 09:11:44;;;;0;;;
2018/08/13 09:17:10;;;;318;;;
2018/08/13 09:18:10;;;;0;;;
2018/08/13 09:21:51;;;;318;;;
2018/08/13 09:22:51;;;;0;;;
2018/08/13 09:27:22;;;;318;;;
2018/08/13 09:28:22;;;;100;;;
2018/08/13 09:59:34;;;;null;;;
2018/08/13 09:59:37;;;;100;;;
2018/08/13 10:59:35;;;;null;;;
2018/08/13 11:52:05;;;;;null;;
2018/08/13 12:11:14;;;;;0;;
2018/08/14 00:00:47;null;null;null;;null;null;
2018/08/14 00:01:15;;;;;0;0;
