Date start:01/01/2019;Date stop:30/06/2019
Data;Pescina Wind.L1.WTG4.Status.WTG Event;Pescina Wind.L1.WTG5.Status.WTG Event;Pescina Wind.L1.WTG6.Status.WTG Event;Pescina Wind.L1.WTG8.Status.WTG Event;Pescina Wind.L2.WTG10.Status.WTG Event;Pescina Wind.L2.WTG11.Status.WTG Event;Pescina Wind.L2.WTG7.Status.WTG Event;Pescina Wind.L2.WTG9.Status.WTG Event;
2019/01/10 02:40:13;;356;;;;;;;
2019/01/10 02:41:13;;191;;;;;;;
2019/01/10 02:41:23;;0;;;;;;;
2019/01/11 00:00:47;null;null;;;;;;;
2019/01/11 00:00:47;;;null;null;null;null;null;;
2019/01/11 00:00:53;;;;;0;;0;;
2019/01/11 00:01:06;;;;;0;0;0;;
2019/01/11 00:01:08;0;0;0;0;;;;;
2019/01/12 00:00:37;null;null;null;null;null;null;null;;
2019/01/12 00:00:56;;;;;0;0;0;;
2019/01/12 00:00:59;0;0;0;0;;;;;
2019/01/12 18:28:44;;;;;;;;0;
2019/01/12 18:40:53;;;;;;;;894;
2019/01/12 18:53:47;;;;;;;;868;
2019/01/12 18:54:47;;;;;;;;0;
2019/01/13 00:00:37;null;null;null;null;null;;null;null;
2019/01/13 00:00:37;;;;;;null;;;
2019/01/13 00:00:55;;;;;0;0;0;0;
2019/01/13 00:00:56;0;0;0;0;;;;;
2019/01/13 02:32:54;;;275;;;;;;
2019/01/13 02:59:34;;;0;;;;;;
2019/01/13 15:03:50;;;;;;275;;;
2019/01/13 15:30:25;;;;;;0;;;
2019/01/14 00:00:37;null;null;null;null;null;null;null;null;
2019/01/14 00:00:55;0;0;0;0;;;;;
2019/01/14 00:00:56;;;;;0;0;0;0;
2019/01/14 10:16:09;null;;;;;;;;
2019/01/14 11:26:51;0;;;;;;;;
2019/01/14 12:41:29;;null;;;;;;;
2019/01/14 14:25:07;;0;;;;;;;
2019/01/14 14:28:08;;;null;;;;;;
2019/01/14 14:44:54;;;0;;;;;;
2019/01/14 15:16:40;;275;;;;;;;
