Date start:22/06/2018;Date stop:31/12/2018
Data;Marsica II.L1.V1.Status.WTG Event;Marsica II.L1.V2.Status.WTG Event;Marsica II.L2.CM2.Status.WTG Event;Marsica II.L2.CM3.Status.WTG Event;Marsica II.L3.G1.Status.WTG Event;Marsica II.L3.G2.Status.WTG Event;Marsica II.L4.MC1.Status.WTG Event;Marsica II.L4.MC2.Status.WTG Event;Marsica II.L5.A1.Status.WTG Event;Marsica II.L5.A4.Status.WTG Event;Marsica II.L5.A6.Status.WTG Event;Marsica II.L6.A2.Status.WTG Event;Marsica II.L6.A3.Status.WTG Event;Marsica II.L6.A5.Status.WTG Event;
2018/07/06 17:34:14;;;;;;;0;0;0;0;0;;0;0;
2018/07/06 17:34:14;0;;0;0;;0;;;;;;;;;
2018/07/06 17:34:17;;;;;;;;;;;;0;;;
2018/07/06 17:34:17;;;;;0;;;;;;;;;;
2018/07/06 20:36:17;;;;;;;;;;;;;;275;
2018/07/06 21:03:52;;;;;;;;;;;;;;224;
2018/07/06 21:04:48;;;;;;;;;;;;;;0;
2018/07/06 22:03:15;;;;;;;;;275;;;;;;
2018/07/06 22:31:05;;;;;;;;;224;;;;;;
2018/07/06 22:35:01;;;;;;;;;0;;;;;;
2018/07/07 00:00:37;;null;;;;;null;null;;;;;;;
2018/07/07 00:00:37;null;;null;null;null;null;;;null;null;null;null;null;null;
2018/07/07 00:00:47;;0;;;;;0;0;;;;;;;
2018/07/07 00:00:49;;;;;;;;;;;;0;0;0;
2018/07/07 00:00:49;;;;;0;0;;;;;;;;;
2018/07/07 00:00:51;;;;;;;;;0;0;0;;;;
2018/07/07 00:00:52;0;;;;;;;;;;;;;;
2018/07/07 00:00:54;;;0;0;;;;;;;;;;;
2018/07/07 00:53:49;;;;;;;;;;;;;275;;
2018/07/07 01:22:24;;;;;;;;;;;;;224;;
2018/07/07 01:34:52;;;;;;;;;;;;;0;;
2018/07/07 02:46:12;;;;;;;;;;275;;;;;
2018/07/07 03:13:42;;;;;;;;;;224;;;;;
2018/07/07 03:47:28;;;;;;;;;;0;;;;;
2018/07/07 15:39:47;161;;;;;;;;;;;;;;
2018/07/07 15:41:37;100;;;;;;;;;;;;;;
2018/07/07 15:48:04;189;;;;;;;;;;;;;;
2018/07/07 16:07:40;309;;;;;;;;;;;;;;
2018/07/07 16:08:31;0;;;;;;;;;;;;;;
2018/07/08 00:00:37;;null;null;null;null;null;null;null;;;;;;;
2018/07/08 00:00:37;null;;;;;;;;null;null;null;null;null;null;
2018/07/08 00:00:47;;0;;;;;0;0;;;;;;;
2018/07/08 00:00:48;;;;;;;;;0;0;0;;;;
2018/07/08 00:00:48;;;;;0;0;;;;;;;;;
2018/07/08 00:00:49;;;0;0;;;;;;;;;;;
2018/07/08 00:00:50;;;;;;;;;;;;0;0;0;
2018/07/08 00:00:52;0;;;;;;;;;;;;;;
2018/07/09 00:00:47;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018/07/09 00:01:00;;0;;;;;0;0;;;;;;;
2018/07/09 00:01:02;;;;;;;;;;;;0;0;0;
2018/07/09 00:01:02;;;;;;;;;0;0;0;;;;
2018/07/09 00:01:03;;;0;0;;;;;;;;;;;
2018/07/09 00:01:04;;;;;0;0;;;;;;;;;
2018/07/09 00:01:05;0;;;;;;;;;;;;;;
2018/07/09 09:41:13;;;;;;;;null;;;;;;;
2018/07/09 15:28:32;;;;;;;;;;;;275;;;
2018/07/09 15:55:57;;;;;;;;;;;;224;;;
2018/07/09 15:58:53;;;;;;;;;;;;0;;;
2018/07/09 17:33:10;;;;;;;;;;;;;;275;
2018/07/09 18:01:30;;;;;;;;;;;;;;224;
2018/07/09 18:03:05;;;;;;;;;;;;;;0;
2018/07/10 00:00:47;null;null;null;null;null;null;null;;null;null;null;null;null;null;
2018/07/10 00:00:57;;0;;;;;0;;;;;;;;
2018/07/10 00:00:59;;;;;0;0;;;;;;;;;
2018/07/10 00:00:59;;;0;0;;;;;;;;;;;
2018/07/10 00:01:00;;;;;;;;;0;0;0;;;;
2018/07/10 00:01:00;;;;;;;;;;;;0;0;0;
2018/07/10 00:01:02;0;;;;;;;;;;;;;;
2018/07/10 01:43:12;;;;;;;;;;;275;;;;
2018/07/10 01:54:11;;;;;;;;;;;;;275;;
2018/07/10 02:11:07;;;;;;;;;;;224;;;;
2018/07/10 02:13:33;;;;;;;;;;;0;;;;
2018/07/10 02:22:51;;;;;;;;;;;;;224;;
2018/07/10 03:50:13;;;;;;;;;;;;;0;;
2018/07/10 07:13:28;;;;;;;;;;null;;;;;
2018/07/10 14:44:52;;;;;;;;;;0;;;;;
2018/07/11 00:00:47;;null;;;;;null;;;;;;;;
2018/07/11 00:00:47;null;;null;null;null;null;;;null;null;null;null;null;null;
2018/07/11 00:00:58;;0;;;;;0;;;;;;;;
2018/07/11 00:01:00;;;;;;;;;0;0;0;;;;
2018/07/11 00:01:00;;;0;0;;;;;;;;;;;
2018/07/11 00:01:02;;;;;0;0;;;;;;;;;
2018/07/11 00:01:02;;;;;;;;;;;;0;0;0;
2018/07/11 00:01:03;0;;;;;;;;;;;;;;
2018/07/11 07:13:28;;;;;;;;;;;;;;null;
2018/07/11 14:47:14;;;;;;;;;;;;;;0;
2018/07/11 18:43:50;;;;;0;;;;;;;;;;
2018/07/11 18:43:50;0;0;;;;0;;;;;;;;;
2018/07/11 18:43:58;;;0;0;;;0;;;0;;0;0;0;
2018/07/11 18:43:58;;;;;;;;;0;;0;;;;
2018/07/11 19:27:27;0;0;0;0;0;0;0;;0;0;0;0;0;0;
2018/07/11 20:15:59;;;;;;;;;;;;0;;0;
2018/07/11 20:15:59;;;;;;;;;;0;0;;0;;
2018/07/11 20:16:03;0;0;0;0;0;0;;;0;;;;;;
2018/07/11 20:16:03;;;;;;;0;;;;;;;;
2018/07/12 00:00:37;;null;null;null;null;null;null;;null;;;;;;
2018/07/12 00:00:37;null;;;;;;;;;null;null;null;null;null;
2018/07/12 00:00:47;;0;;;;;0;;;;;;;;
2018/07/12 00:00:49;;;;;;;;;;;;0;0;0;
2018/07/12 00:00:50;;;0;0;;;;;;;;;;;
2018/07/12 00:00:51;;;;;0;0;;;;;;;;;
2018/07/12 00:00:52;0;;;;;;;;;;;;;;
2018/07/12 00:00:54;;;;;;;;;0;0;0;;;;
2018/07/12 07:26:55;;;;;;;;;;;;;null;;
2018/07/12 10:29:57;;;;;;;;;;;343;;;;
2018/07/12 10:30:57;;;;;;;;;;;224;;;;
